,WL_mm,x,y
120,-1.8,28.381708179999997,40.136587780000006
121,-1.8,28.381575395,40.13656922
122,7.1,28.38169767000001,40.136632090000006
123,7.1,28.381687152767572,40.13667640211708
124,7.1,28.38167664223253,40.136720717882866
125,7.1,28.38166613,40.13676503000001
126,7.1,28.38153334207895,40.136746470201146
127,7.1,28.381655614999996,40.13680933999999
128,7.1,28.381522827921053,40.13679077979886
129,7.1,28.3816451,40.13685365
130,7.1,28.381512315000005,40.136835090000005
131,7.1,28.38163459,40.13689796
132,7.1,28.381501802078958,40.136879400201146
133,-1.8,28.381482680000005,40.135226030000005
134,-1.8,28.381349895000003,40.135207470000005
135,-1.8,28.381472165650507,40.13527034187171
136,-1.8,28.381339387570787,40.13525178292108
137,-1.8,28.381461654349494,40.1353146581283
138,-1.8,28.381328867429314,40.13529609707888
139,-1.8,28.38145114,40.13535897
140,-1.8,28.381318354999998,40.13534041
141,-1.8,28.381440627883016,40.13540327975467
142,-1.8,28.381307842078954,40.135384720201145
143,-1.8,28.381430112116988,40.135447590245334
144,-1.8,28.381377547883012,40.135669149754655
145,-1.8,28.38136703211698,40.13571346024534
146,-1.8,28.38135652,40.13575777
147,-1.8,28.381346007883014,40.13580207975467
148,-1.8,28.381335489884723,40.13584639236252
149,-1.8,28.38132498223252,40.13589070788286
150,-1.8,28.381314467883012,40.13593501975466
151,-1.8,28.38130395211699,40.13597933024534
152,7.1,28.381104195,40.13682125
153,7.1,28.38097140792105,40.136802689798856
154,-4.8,28.380953934999997,40.139190670000005
155,-4.8,28.38096445,40.13914635500001
156,-4.8,28.380974965,40.13910204
157,-4.8,28.380985479999996,40.139057730000005
158,-4.8,28.380995990000002,40.13901342
159,-4.8,28.381006505000002,40.138969110000005
160,-4.8,28.381017019999998,40.1389248
161,-4.8,28.38102753242913,40.13888048707888
162,-4.8,28.381038052570975,40.13883617292108
163,-4.8,28.381048560000004,40.13879186
164,-4.8,28.381181352883008,40.138810419754684
165,-4.8,28.381059075000007,40.13874755000001
166,-4.8,28.381191867116986,40.13876611024533
